ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size (sq.ft),furnished,facilities,additional_facilities,region,facilities_count,additional_facilities_count
100322802,Arte Plus Jalan Ampang,2018,1500,Kuala Lumpur - Ampang,Service Residence,1,1,1,700,Fully Furnished,"Gymnasium, Jogging Track, Playground, Parking, Security, Lift, Swimming Pool, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Squash Court","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur,13,4
87950203,Maxim Citilights,2017,1300,Kuala Lumpur - Sentul,Service Residence,3,1,2,1009,Fully Furnished,"Minimart, Jogging Track, Playground, Swimming Pool, Multipurpose hall, Security, Lift, Parking, Gymnasium, Sauna, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,11,3
100239196,Greenview Apartments,2017,1000,Kuala Lumpur - Kepong,Apartment,5,0,2,855,Partially Furnished,"Security, Parking, Lift","Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur,3,3
100322320,Legasi Kampong Bharu,2020,3200,Kuala Lumpur - KL City,Apartment,3,1,2,950,Fully Furnished,"Lift, Squash Court, Jogging Track, Gymnasium, Playground, Security, Tennis Court, Swimming Pool, Parking, Minimart, Sauna, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur,13,5
100322311,Legasi Kampong Bharu,2020,3200,Kuala Lumpur - KL City,Apartment,3,1,2,950,Fully Furnished,"Lift, Squash Court, Jogging Track, Gymnasium, Playground, Security, Tennis Court, Swimming Pool, Parking, Minimart, Sauna, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur,13,5
100322212,Majestic Maxim,2021,1400,Kuala Lumpur - Cheras,Service Residence,2,2,2,650,Not Furnished,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground","Air-Cond, Near KTM/LRT, Cooking Allowed",Kuala Lumpur,8,3
100273500,Desa Villas,2017,2500,Kuala Lumpur - Wangsa Maju,Condominium,4,2,2,1784,Not Furnished,"Parking, Security, Lift, Gymnasium","Air-Cond, Cooking Allowed",Kuala Lumpur,4,2
100231953,East Side One Ampang Avenue,2017,1800,Kuala Lumpur - Ampang,Condominium,3,1,2,1100,Fully Furnished,"Gymnasium, Minimart, Tennis Court, Squash Court, Sauna, Security, Swimming Pool, Parking",None,Kuala Lumpur,8,0
100322123,Majestic Maxim,2021,1099,Kuala Lumpur - Cheras,Service Residence,2,1,2,650,Not Furnished,"Playground, Lift, Barbeque area, Security, Parking, Jogging Track, Gymnasium, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,8,3
100310024,Majestic Maxim,2021,1099,Kuala Lumpur - Cheras,Service Residence,2,1,2,650,Partially Furnished,"Security, Swimming Pool, Parking, Jogging Track, Barbeque area, Playground, Gymnasium, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,8,4
100310022,Majestic Maxim,2021,1199,Kuala Lumpur - Cheras,Service Residence,3,1,2,819,Not Furnished,"Security, Swimming Pool, Parking, Jogging Track, Barbeque area, Playground, Gymnasium, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,8,4
100290514,Majestic Maxim,2021,1100,Kuala Lumpur - Cheras,Service Residence,2,1,2,650,Not Furnished,"Jogging Track, Parking, Security, Playground, Barbeque area, Gymnasium, Lift, Swimming Pool","Air-Cond, Cooking Allowed",Kuala Lumpur,8,2
100267049,Sri Penara,2017,1000,Kuala Lumpur - Cheras,Apartment,3,0,2,650,Not Furnished,"Parking, Minimart, Playground",None,Kuala Lumpur,3,0
100201993,Prisma Cheras,2017,1100,Kuala Lumpur - Cheras,Condominium,1,1,1,900,Partially Furnished,"Swimming Pool, Barbeque area, Sauna, Security, Gymnasium, Tennis Court, Squash Court, Parking, Playground",None,Kuala Lumpur,9,0
100295196,Menara Alpha,2017,1400,Kuala Lumpur - Wangsa Maju,Condominium,3,1,2,1140,Not Furnished,"Parking, Minimart, Security, Gymnasium, Swimming Pool, Playground",None,Kuala Lumpur,6,0
100322088,Berlian Residence @ Setapak,2017,1500,Kuala Lumpur - Setapak,Condominium,3,1,2,900,Not Furnished,"Parking, Security, Lift, Swimming Pool, Multipurpose hall",None,Kuala Lumpur,5,0
100322086,28 Dutamas,2017,2500,Kuala Lumpur - Solaris Dutamas,Condominium,4,2,3,1500,Partially Furnished,"Playground, Swimming Pool, Jogging Track, Multipurpose hall, Security, Gymnasium","Air-Cond, Cooking Allowed",Kuala Lumpur,6,2
100322100,28 Dutamas,2017,2900,Kuala Lumpur - Solaris Dutamas,Condominium,4,2,3,1719,Fully Furnished,"Playground, Swimming Pool, Jogging Track, Multipurpose hall, Security, Gymnasium","Air-Cond, Cooking Allowed",Kuala Lumpur,6,2
100322078,Pangsapuri Melur (Sentul),2006,1750,Kuala Lumpur - Sentul,Apartment,3,0,2,1065,Partially Furnished,None,None,Kuala Lumpur,0,0
100202252,Residensi Vista Wirajaya,2017,1800,Kuala Lumpur - Setapak,Apartment,3,1,2,885,Fully Furnished,None,None,Kuala Lumpur,0,0
100136931,Bayu Sentul Condominium,2015,1900,Kuala Lumpur - Sentul,Condominium,3,2,2,1300,Partially Furnished,None,None,Kuala Lumpur,0,0
100234716,Flexus Signature Suites,2017,1500,Kuala Lumpur - Jalan Kuching,Studio,1,1,1,530,Fully Furnished,"Parking, Security, Sauna, Multipurpose hall, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,6,3
100322047,Menjalara 18,2017,2400,Kuala Lumpur - Bandar Menjalara,Condominium,3,1,2,1316,Fully Furnished,"Barbeque area, Swimming Pool, Gymnasium, Club house, Minimart, Squash Court, Parking, Sauna","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,8,3
93075352,G Residence @ Desa Pandan,2015,4500,Kuala Lumpur - Desa Pandan,Service Residence,3,2,2,1539,Fully Furnished,"Multipurpose hall, Security, Gymnasium, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,4,4
99876261,Greenpark,1999,1400,Kuala Lumpur - Old Klang Road,Condominium,3,1,2,1270,Partially Furnished,"Parking, Security, Tennis Court, Swimming Pool, Playground, Lift, Jogging Track, Minimart, Gymnasium, Barbeque area","Air-Cond, Cooking Allowed, Internet",Kuala Lumpur,10,3
100322029,Majestic Maxim,2021,1800,Kuala Lumpur - Cheras,Service Residence,3,1,2,819,Partially Furnished,"Security, Swimming Pool, Lift, Gymnasium, Barbeque area, Jogging Track, Parking, Playground, Minimart, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur,10,4
100322005,Baiduri Apartment (Desa Pandan),2017,1500,Kuala Lumpur - Desa Pandan,Apartment,3,1,2,950,Partially Furnished,"Security, Parking",None,Kuala Lumpur,2,0
98292007,Bennington Residences @ Skyarena,2019,3000,Kuala Lumpur - Setapak,Condominium,3,2,2,1200,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court","Air-Cond, Cooking Allowed, Washing Machine, Internet",Kuala Lumpur,11,4
100321936,Sri Putramas,2004,1600,Kuala Lumpur - Jalan Kuching,Condominium,3,1,2,1100,Fully Furnished,"Minimart, Swimming Pool, Sauna, Playground, Gymnasium, Security, Tennis Court, Barbeque area, Parking","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,9,3
100321976,Putra Villa,2007,1800,Kuala Lumpur - Setapak,Condominium,3,0,2,1066,Fully Furnished,None,None,Kuala Lumpur,0,0
99627362,38 Bidara,2017,2100,Kuala Lumpur - KLCC,Condominium,2,0,2,706,Fully Furnished,"Minimart, Swimming Pool, Sauna, Parking, Security, Gymnasium, Barbeque area, Club house, Playground",None,Kuala Lumpur,9,0
99492392,3 Towers,2015,2500,Kuala Lumpur - Ampang Hilir,Condominium,2,1,1,890,Fully Furnished,"Security, Gymnasium, Multipurpose hall, Parking, Barbeque area, Swimming Pool",None,Kuala Lumpur,6,0
100036659,One Maxim,2020,1300,Kuala Lumpur - Sentul,Service Residence,2,1,2,650,Partially Furnished,"Jogging Track, Playground, Parking, Swimming Pool, Gymnasium, Sauna, Multipurpose hall, Security, Barbeque area",None,Kuala Lumpur,9,0
99528357,Casa Mutiara,2007,2000,Kuala Lumpur - Bukit Bintang,Service Residence,2,1,2,742,Fully Furnished,"Gymnasium, Sauna, Parking, Playground, Security, Swimming Pool, Barbeque area",None,Kuala Lumpur,7,0
100321885,Sofiya Residences,2017,2000,Kuala Lumpur - Desa ParkCity,Condominium,3,1,2,862,Fully Furnished,"Security, Playground","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,2,3
100273689,Laman Tasik,2002,2100,Kuala Lumpur - Cheras,Condominium,4,1,3,1300,Fully Furnished,"Parking, Security, Minimart, Playground, Swimming Pool, Gymnasium",None,Kuala Lumpur,6,0
100033999,Residensi Seri Wahyu @ Jalan Kuching Kl,2017,1300,Kuala Lumpur - KL City,Apartment,3,1,2,805,Partially Furnished,"Squash Court, Jogging Track, Gymnasium, Parking, Swimming Pool, Lift, Security, Playground, Minimart",None,Kuala Lumpur,9,0
100033960,The Hamilton,2020,2600,Kuala Lumpur - Wangsa Maju,Condominium,4,2,2,1000,Fully Furnished,"Playground, Jogging Track, Multipurpose hall, Parking, Swimming Pool, Barbeque area, Security, Gymnasium",None,Kuala Lumpur,8,0
99844667,3 Towers,2015,2000,Kuala Lumpur - Ampang Hilir,Service Residence,1,1,1,440,Fully Furnished,"Barbeque area, Multipurpose hall, Parking, Security, Swimming Pool, Gymnasium",None,Kuala Lumpur,6,0
100321850,Menjalara 18,2017,2500,Kuala Lumpur - Bandar Menjalara,Condominium,5,2,3,1600,Fully Furnished,"Barbeque area, Swimming Pool, Gymnasium, Club house, Minimart, Squash Court, Parking, Sauna","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,8,3
100321800,The Havre @ Bukit Jalil,2020,2500,Kuala Lumpur - Bukit Jalil,Condominium,3,2,2,1028,Fully Furnished,"Security, Squash Court, Jogging Track, Lift, Multipurpose hall, Minimart, Swimming Pool, Gymnasium, Barbeque area, Sauna, Club house, Parking, Playground, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,14,4
100290798,M3 Residency,2017,1600,Kuala Lumpur - Setapak,Condominium,3,1,2,950,Partially Furnished,None,None,Kuala Lumpur,0,0
100321689,Majestic Maxim,2021,1400,Kuala Lumpur - Cheras,Service Residence,2,2,2,650,Not Furnished,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground","Air-Cond, Near KTM/LRT, Cooking Allowed",Kuala Lumpur,8,3
100321678,D'Puncak Suasana,2017,1000,Kuala Lumpur - KLCC,Apartment,3,2,2,1000,Partially Furnished,"Playground, Swimming Pool, Parking, Security, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur,9,4
100321609,Kaleidoscope,2017,2700,Kuala Lumpur - Setiawangsa,Condominium,3,0,2,1115,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Club house",None,Kuala Lumpur,6,0
100321665,Kl Traders Square Residences,2019,1400,Kuala Lumpur - Gombak,Service Residence,3,1,2,850,Not Furnished,"Swimming Pool, Lift, Security, Parking, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court, Jogging Track, Club house, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,14,3
100321664,Prisma Cheras,2017,1500,Kuala Lumpur - Cheras,Condominium,2,1,1,717,Fully Furnished,"Tennis Court, Sauna, Gymnasium, Squash Court, Barbeque area, Playground, Security, Parking, Swimming Pool, Lift, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur,13,4
100321580,Seasons Garden Residences @ Wangsa Maju,2017,1350,Kuala Lumpur - Wangsa Maju,Apartment,3,1,2,850,Partially Furnished,None,None,Kuala Lumpur,0,0
100321562,Lavile,2021,3000,Kuala Lumpur - Cheras,Service Residence,3,0,2,864,Fully Furnished,"Swimming Pool, Barbeque area, Security, Multipurpose hall, Gymnasium, Lift, Parking, Playground, Sauna, Jogging Track, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,11,4
100321251,Maxim Citilights,2017,1300,Kuala Lumpur - Sentul,Service Residence,3,1,2,1150,Not Furnished,"Security, Minimart, Playground, Swimming Pool, Multipurpose hall, Jogging Track, Lift, Parking",Near KTM/LRT,Kuala Lumpur,8,1
100321351,Fajar Ria,2017,2500,Kuala Lumpur - Pantai,Condominium,3,0,2,1500,Fully Furnished,"Parking, Security, Playground, Swimming Pool, Gymnasium","Cooking Allowed, Near KTM/LRT, Air-Cond",Kuala Lumpur,5,3
100321196,Banyan Tree,2015,7000,Kuala Lumpur - KLCC,Condominium,2,1,2,1076,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area","Air-Cond, Near KTM/LRT, Washing Machine, Cooking Allowed",Kuala Lumpur,8,4
99435019,Ppa1M Bukit Jalil,2017,1300,Kuala Lumpur - Bukit Jalil,Apartment,3,1,2,1000,Not Furnished,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall",None,Kuala Lumpur,6,0
100235971,Taman Connaught,2017,900,Kuala Lumpur - Cheras,Apartment,2,1,1,550,Partially Furnished,"Parking, Security, Lift, Playground, Jogging Track","Cooking Allowed, Near KTM/LRT",Kuala Lumpur,5,2
100235642,Midah Ria,2017,1300,Kuala Lumpur - Cheras,Condominium,3,1,2,967,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,8,3
99774637,Sri Kenangan,2017,2500,Kuala Lumpur - Wangsa Maju,Condominium,4,1,2,1184,Partially Furnished,"Minimart, Barbeque area, Swimming Pool, Parking, Security, Playground",None,Kuala Lumpur,6,0
100321040,Faber Ria,1985,1300,Kuala Lumpur - Taman Desa,Condominium,2,1,2,1050,Partially Furnished,"Playground, Swimming Pool, Tennis Court, Squash Court, Minimart, Sauna, Club house, Parking, Security, Gymnasium, Barbeque area, Lift",Cooking Allowed,Kuala Lumpur,12,1
100321021,Banyan Tree,2015,7800,Kuala Lumpur - KLCC,Condominium,2,1,2,1076,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,10,4
23139697,Villa Wangsamas,2010,1700,Kuala Lumpur - Wangsa Maju,Condominium,3,0,3,1267,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur,11,4
16717632,Villa Wangsamas,2010,2000,Kuala Lumpur - Wangsa Maju,Condominium,3,1,3,1267,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur,11,5
99364321,The Capers,2017,2100,Kuala Lumpur - Sentul,Service Residence,2,0,2,999,Partially Furnished,"Playground, Parking, Gymnasium, Jogging Track, Security, Swimming Pool, Lift, Club house, Minimart, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,10,4
100321008,Central Residence @ Sg Besi,2015,1750,Kuala Lumpur - Sungai Besi,Condominium,3,2,2,1121,Fully Furnished,"Playground, Barbeque area, Sauna, Multipurpose hall, Security, Swimming Pool, Gymnasium, Lift, Parking","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,9,3
100320875,Unio Residence,2021,2000,Kuala Lumpur - Kepong,Apartment,2,1,2,872,Fully Furnished,"Minimart, Swimming Pool, Tennis Court, Jogging Track, Security, Playground, Parking, Gymnasium, Barbeque area, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur,11,4
100320904,Dahlia Apartment (Ampang),2017,1300,Kuala Lumpur - Ampang,Apartment,3,0,2,860,Not Furnished,"Security, Playground, Lift",Cooking Allowed,Kuala Lumpur,3,1
100320954,1 Petaling,2012,1100,Kuala Lumpur - Sungai Besi,Condominium,3,1,2,904,Partially Furnished,"Jogging Track, Swimming Pool, Playground, Security, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,6,4
100320945,Residensi Seri Wahyu @ Jalan Kuching Kl,2017,1300,Kuala Lumpur - KL City,Apartment,3,1,2,835,Fully Furnished,"Jogging Track, Lift, Gymnasium, Squash Court, Minimart, Security, Swimming Pool, Parking, Playground, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,10,3
100320933,Pangsapuri Seroja,2017,850,Kuala Lumpur - Jinjang,Apartment,3,0,2,750,Partially Furnished,Lift,"Near KTM/LRT, Cooking Allowed",Kuala Lumpur,1,2
98990742,Endah Villa,2017,1400,Kuala Lumpur - Sri Petaling,Condominium,3,1,2,1129,Fully Furnished,"Security, Squash Court, Parking, Swimming Pool, Tennis Court, Playground, Minimart, Barbeque area, Lift, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,11,4
100320836,Unio Residence,2021,1900,Kuala Lumpur - Kepong,Service Residence,2,1,2,1132,Partially Furnished,"Minimart, Playground, Swimming Pool, Parking, Security, Gymnasium, Tennis Court, Lift, Barbeque area, Jogging Track, Multipurpose hall",Air-Cond,Kuala Lumpur,11,1
100140155,Rica Residence Sentul,2021,1700,Kuala Lumpur - Sentul,Condominium,2,0,1,700,Partially Furnished,"Parking, Security, Swimming Pool, Minimart, Playground, Squash Court, Lift, Gymnasium, Tennis Court, Jogging Track","Near KTM/LRT, Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,10,4
100320688,Pv9 Residences @ Taman Melati,2022,2100,Kuala Lumpur - Setapak,Service Residence,3,2,2,1000,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Minimart","Air-Cond, Near KTM/LRT, Cooking Allowed",Kuala Lumpur,9,3
100320795,Suasana Lumayan,2015,1550,Kuala Lumpur - Cheras,Condominium,4,1,2,1142,Partially Furnished,"Minimart, Sauna, Security, Gymnasium, Playground, Parking, Swimming Pool, Lift","Air-Cond, Cooking Allowed",Kuala Lumpur,8,2
100320796,Plaza Prima Setapak,2006,1400,Kuala Lumpur - Setapak,Condominium,4,2,2,1300,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Jogging Track","Cooking Allowed, Washing Machine",Kuala Lumpur,6,2
100320727,Residensi Vista Wirajaya,2017,1800,Kuala Lumpur - Setapak,Apartment,3,1,2,884,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Multipurpose hall","Near KTM/LRT, Washing Machine, Internet, Cooking Allowed",Kuala Lumpur,7,4
100320547,One Maxim,2020,1300,Kuala Lumpur - Sentul,Service Residence,3,1,2,819,Partially Furnished,"Parking, Sauna, Barbeque area, Jogging Track, Security, Playground, Swimming Pool, Gymnasium, Multipurpose hall",Cooking Allowed,Kuala Lumpur,9,1
100320546,M Centura,2021,2500,Kuala Lumpur - Sentul,Service Residence,3,1,2,850,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Gymnasium, Playground","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,6,3
100320543,Pv9 Residences @ Taman Melati,2022,2300,Kuala Lumpur - Setapak,Service Residence,3,2,2,1000,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Jogging Track, Barbeque area","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,7,3
100320529,Majestic Maxim,2021,1350,Kuala Lumpur - Cheras,Service Residence,2,1,1,650,Partially Furnished,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Playground, Swimming Pool, Security","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur,8,5
100320520,Residensi Kepongmas,2020,1100,Kuala Lumpur - Kepong,Apartment,3,2,2,800,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,6,3
100320656,Bayu Sentul Condominium,2015,1700,Kuala Lumpur - Sentul,Condominium,3,2,2,1300,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Cooking Allowed, Washing Machine",Kuala Lumpur,14,2
100170082,Vista Angkasa,2017,1800,Kuala Lumpur - Bangsar South,Apartment,3,1,2,1200,Partially Furnished,"Parking, Security, Swimming Pool, Jogging Track, Minimart, Lift, Playground, Multipurpose hall, Barbeque area, Tennis Court","Cooking Allowed, Near KTM/LRT",Kuala Lumpur,10,2
100234537,The Nest Residence @ Genting Klang,2017,1600,Kuala Lumpur - Setapak,Service Residence,3,1,2,770,Fully Furnished,"Parking, Playground, Gymnasium, Jogging Track, Lift, Minimart, Tennis Court, Squash Court, Security, Swimming Pool",Air-Cond,Kuala Lumpur,10,1
100320486,Sky Awani 3 Residence Setpak,2017,1600,Kuala Lumpur - Setapak,Service Residence,3,2,2,800,Fully Furnished,"Parking, Gymnasium, Sauna, Security, Lift, Swimming Pool, Playground, Barbeque area","Cooking Allowed, Air-Cond, Near KTM/LRT",Kuala Lumpur,8,3
100320507,M Centura,2021,1650,Kuala Lumpur - Sentul,Service Residence,3,2,2,850,Partially Furnished,Parking,"Cooking Allowed, Air-Cond",Kuala Lumpur,1,2
100320503,M Centura,2021,1200,Kuala Lumpur - Sentul,Service Residence,2,1,1,646,Not Furnished,"Parking, Gymnasium, Security, Lift, Swimming Pool, Barbeque area, Playground, Jogging Track",None,Kuala Lumpur,8,0
100320593,Og Heights,1988,1200,Kuala Lumpur - Pantai,Condominium,2,1,2,1000,Partially Furnished,"Parking, Jogging Track, Tennis Court, Lift, Sauna, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,6,4
100235780,8 Petaling,2014,2599,Kuala Lumpur - Sri Petaling,Condominium,4,3,5,1899,Fully Furnished,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,7,4
99174282,Delima J Apartment,2017,1400,Kuala Lumpur - Desa Pandan,Apartment,3,1,2,1000,Partially Furnished,"Playground, Security, Parking","Air-Cond, Cooking Allowed",Kuala Lumpur,3,2
100320340,Lexa Residence @ The Quartz Wm,2017,2600,Kuala Lumpur - Wangsa Maju,Service Residence,4,0,2,877,Fully Furnished,None,None,Kuala Lumpur,0,0
100255260,The Nest Residence @ Genting Klang,2017,900,Kuala Lumpur - Setapak,Service Residence,1,1,1,360,Fully Furnished,"Swimming Pool, Minimart, Tennis Court, Squash Court, Parking, Playground, Gymnasium, Jogging Track, Security, Lift",None,Kuala Lumpur,10,0
100279958,Hedgeford 10 Residences @ Wangsa Maju,2015,1200,Kuala Lumpur - Wangsa Maju,Service Residence,1,1,1,521,Partially Furnished,"Security, Swimming Pool, Jogging Track, Sauna, Minimart, Parking","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,6,3
